pitcher,season,avg_pred_whiff,actual_whiff_rate,n_pitches,n_whiffs,fastball_count,fastball_whiff,breaking_count,breaking_whiff,offspeed_count,offspeed_whiff,name,team,raw_scouting_score,stuff_plus_score,fastball_stuff_plus,breaking_stuff_plus,offspeed_stuff_plus,fg_mlbam_id,fg_stuff_plus,fg_location_plus,fg_pitching_plus
434378,2026,0.09997906,0.10666666666666667,150,16,73.0,0.053261135,63.0,0.1394664,14.0,0.16588655,"Verlander, Justin",DET,34.58101258913932,76.87151888370897,55.0,93.49056797884678,117.10676842733557,434378.0,101.442,77.2995,76.9245
445276,2026,0.14363249,0.12974051896207583,501,65,456.0,0.14598465,41.0,0.120845646,0.0,0.0,"Jansen, Kenley",DET,60.185070171410864,115.27760525711629,129.16025412547594,83.91257920362395,,445276.0,109.47955734406439,100.46197183098592,110.41086519114691
453286,2026,0.11173936,0.08966565349544073,658,59,318.0,0.07469576,231.0,0.14694779,108.0,0.14615853,"Scherzer, Max",TOR,42.11068671285889,88.16603006928834,76.80472344849264,97.44213931124452,109.88639464670489,453286.0,92.0760341880342,101.1433846153846,93.09507692307695
455119,2026,0.120833464,0.08646616541353383,266,23,212.0,0.11465393,27.0,0.15312378,27.0,0.1370639,"Martin, Chris",TEX,48.74862805493667,98.122942082405,110.1008015721283,101.27429015929773,106.38209699264932,455119.0,102.09425196850393,106.70220472440947,107.22023622047242
471911,2026,0.11994387,0.10569105691056911,246,26,136.0,0.11234542,34.0,0.10977286,76.0,0.1380913,"Carrasco, Carlos",ATL,47.86912410546928,96.80368615820393,107.76935914070961,78.74887823017033,106.58512003991315,471911.0,81.52073170731708,107.63243902439024,91.54593495934958
472610,2026,0.13610987,0.10943396226415095,265,29,129.0,0.11380264,53.0,0.15725271,83.0,0.1572793,"García, Luis",MIN,56.97520398122158,110.46280597183238,109.06590269295269,103.20614394704882,113.66500830439047,472610.0,95.1808660406239,97.28794896574092,95.308724343466
476594,2026,0.10039291,0.16901408450704225,71,12,54.0,0.10653725,8.0,0.07123317,8.0,0.095574014,"Stock, Robert",NYM,34.80476213659829,77.20714320489743,104.00203576455225,65.42231715695753,87.3317102568115,476594.0,86.12142857142857,111.99314285714287,98.82285714285715
489446,2026,0.12149173,0.17038539553752535,493,84,321.0,0.08571568,7.0,0.09223559,165.0,0.19233356,"Yates, Kirby",LAA,49.23652280541882,98.85478420812824,85.95870128520079,69.74902943899576,131.1707233106108,489446.0,88.04192758447323,97.39847549453026,85.08118080477108
500743,2026,0.05308738,0.018867924528301886,53,1,0.0,0.0,0.0,0.0,0.0,0.0,"Rojas, Miguel",LAD,27.350074989111146,66.02511248366672,,,,500743.0,36.09320754716981,104.64188679245282,55.39018867924529
500779,2026,0.10537367,0.09855072463768116,690,68,337.0,0.07661854,206.0,0.13435075,144.0,0.13262165,"Quintana, Jose",COL,37.80575891490411,81.70863837235616,78.84723565587328,91.13010600431686,104.408143905439,500779.0,80.55608187134501,104.1628947368421,86.07581871345029
